

Sign up
Forgot your password?
Remember me

    About
    Corpus
    Dictionary
    Auxiliaries

Lemma reverse dictionary

ä

by

records

17 093 records were found.
No 	lemma 	part of speech
582 	kesksügüz’ 	NOUN (singularia tantum)
583 	kal’huz’ 	NOUN
584 	peitkal’huz’ 	NOUN
585 	edahuz’ 	NOUN
586 	ambundedahuz’ 	NOUN
587 	igähuz’ 	NOUN (singularia tantum)
588 	kunigahuz’ 	NOUN
589 	nenakahuz’ 	NOUN (singularia tantum)
590 	sebrakahuz’ 	NOUN (singularia tantum)
591 	karvakahuz’ 	NOUN (singularia tantum)
592 	arvokahuz’ 	NOUN
593 	pahuz’ 	NOUN
594 	vähuz’ 	NOUN (singularia tantum)
595 	tarbhuz’ 	NOUN
596 	varghuz’ 	NOUN (singularia tantum)
597 	laihuz’ 	NOUN (singularia tantum)
598 	armhuz’ 	NOUN
599 	vanhuz’ 	NOUN (singularia tantum)
600 	värhuz’ 	NOUN (singularia tantum)
601 	ahthuz’ 	NOUN
602 	puhthuz’ 	NOUN (singularia tantum)
603 	tervhuz’ 	NOUN (singularia tantum)
604 	melen||tervhuz’ 	NOUN (singularia tantum)
605 	äjuz’ 	NOUN (singularia tantum)
606 	tabjuz’ 	NOUN (singularia tantum)
607 	tühjuz’ 	NOUN (singularia tantum)
608 	orjuz’ 	NOUN (singularia tantum)
609 	maorjuz’ 	NOUN (singularia tantum)
610 	kuz’ 	NOUN
611 	kuz’ 	NUM
612 	kambakuz’ 	NOUN (singularia tantum)
613 	lahjakuz’ 	NOUN (singularia tantum)
614 	ažlakuz’ 	NOUN (singularia tantum)
615 	hahkuz’ 	NOUN
616 	üks’kaikuz’ 	NOUN (singularia tantum)
617 	hoikuz’ 	NOUN
618 	tarkuz’ 	NOUN
619 	ambundtarkuz’ 	NOUN
620 	metkuz’ 	NOUN (singularia tantum)
621 	lehtezkuz’ 	NOUN
622 	madaluz’ 	NOUN (singularia tantum)
623 	jumaluz’ 	NOUN (singularia tantum)
624 	opaluz’ 	NOUN (singularia tantum)
625 	meheluz’ 	NOUN (singularia tantum)
626 	libedkelüz’ 	NOUN (singularia tantum)
627 	teravkelüz’ 	NOUN (singularia tantum)
628 	melüz’ 	NOUN (singularia tantum)
629 	alamelüz’ 	NOUN (singularia tantum)
630 	teravmelüz’ 	NOUN (singularia tantum)
631 	noveluz’ 	NOUN (singularia tantum)
632 	naiželuz’ 	NOUN (singularia tantum)
633 	rohluz’ 	NOUN (singularia tantum)
634 	vällüz’ 	NOUN (singularia tantum)
635 	hillüz’ 	NOUN (singularia tantum)
636 	surmaline hillüz’ 	PHRASE (Noun group)
637 	küllüz’ 	NOUN (singularia tantum)
638 	nozoluz’ 	NOUN
639 	lämuz’ 	NOUN (singularia tantum)
640 	tobmuz’ 	NOUN (singularia tantum)
641 	südäimuz’ 	NOUN
642 	avoimuz’ 	NOUN (singularia tantum)
643 	toziavoimuz’ 	NOUN
644 	čomuz’ 	NOUN
645 	tabatomuz’ 	NOUN (singularia tantum)
646 	valdatomuz’ 	NOUN (singularia tantum)
647 	ižandatomuz’ 	NOUN (singularia tantum)
648 	agjatomuz’ 	NOUN
649 	pohjatomuz’ 	NOUN (singularia tantum)
650 	azjatomuz’ 	NOUN (singularia tantum)
651 	jumalatomuz’ 	NOUN (singularia tantum)
652 	el’gendamatomuz’ 	NOUN (singularia tantum)
653 	opendamatomuz’ 	NOUN (singularia tantum)
654 	hamatomuz’ 	NOUN
655 	adivoičetamatomuz’ 	NOUN (singularia tantum)
656 	kubahtamatomuz’ 	NOUN (singularia tantum)
657 	vajehtamatomuz’ 	NOUN (singularia tantum)
658 	todištamatomuz’ 	NOUN (singularia tantum)
659 	endustamatomuz’ 	NOUN (singularia tantum)
660 	pördutamatomuz’ 	NOUN (singularia tantum)
661 	tedmatomuz’ 	NOUN (singularia tantum)
662 	varaidmatomuz’ 	NOUN (singularia tantum)
663 	tundmatomuz’ 	NOUN (singularia tantum)
664 	joudmatomuz’ 	NOUN (singularia tantum)
665 	homaičematomuz’ 	NOUN (singularia tantum)
666 	nähmatomuz’ 	NOUN (singularia tantum)
667 	tehmatomuz’ 	NOUN (singularia tantum)
668 	nadeimatomuz’ 	NOUN (singularia tantum)
669 	hüväntahtoimatomuz’ 	NOUN (singularia tantum)
670 	koskmatomuz’ 	NOUN (singularia tantum)
671 	uskmatomuz’ 	NOUN (singularia tantum)
672 	kolmatomuz’ 	NOUN (singularia tantum)
673 	ripmatomuz’ 	NOUN (singularia tantum)
674 	valdripmatomuz’ 	NOUN (singularia tantum)
675 	lopmatomuz’ 	NOUN
676 	tirpmatomuz’ 	NOUN
677 	rohtmatomuz’ 	NOUN (singularia tantum)
678 	kitmatomuz’ 	NOUN (singularia tantum)
679 	röunatomuz’ 	NOUN (singularia tantum)
680 	huiktatomuz’ 	NOUN
681 	ustavatomuz’ 	NOUN (singularia tantum)
682 	ozatomuz’ 	NOUN
683 	avto-ozatomuz’ 	NOUN
684 	lendand||ozatomuz’ 	NOUN
685 	raud||te||ozatomuz’ 	NOUN
686 	meri||ozatomuz’ 	NOUN
687 	oiktudetomuz’ 	NOUN (singularia tantum)
688 	vägetomuz’ 	NOUN (singularia tantum)
689 	elgetomuz’ 	NOUN
690 	meletomuz’ 	NOUN (singularia tantum)
691 	holetomuz’ 	NOUN (singularia tantum)
692 	südäimetomuz’ 	NOUN (singularia tantum)
693 	nimetomuz’ 	NOUN (singularia tantum)
694 	moralitomuz’ 	NOUN (singularia tantum)
695 	radotomuz’ 	NOUN (singularia tantum)
696 	ilotomuz’ 	NOUN (singularia tantum)
697 	himotomu||z’ 	NOUN (singularia tantum)
698 	tahtotomuz’ 	NOUN (singularia tantum)
699 	toivotomuz’ 	NOUN (singularia tantum)
700 	abutomuz’ 	NOUN
701 	kibutomuz’ 	NOUN (singularia tantum)
702 	magutomuz’ 	NOUN (singularia tantum)
703 	mujutomuz’ 	NOUN (singularia tantum)
704 	ühtmuz’ 	NOUN (singularia tantum)
705 	väl’dümuz’ 	NOUN (singularia tantum)
706 	rippumuz’ 	NOUN (singularia tantum)
707 	henuz’ 	NOUN
708 	napernuz’ 	NOUN (singularia tantum)
709 	tünüz’ 	NOUN (singularia tantum)
